,abbv,term
1606,CAS,Chemical Abstract Service
1607,CSIs,Common safety indicators 
1608,FPLAs,Field Programmable Logic Arrays
1609,IPA,Investment Promotion Act
1610,FNME,Ferrovie Nord Milano Esercizio
1611,SPL,sailplane pilot licence
1612,ECU,electronic control unit
1613,SPE,Single Point of Entry
1614,NOEC,No observed effect concentration
1615,ARM,Approved Reporting Mechanism
1616,ESA,Electricity Supply Act
1617,EEDI,Energy Efficiency Design Index
1618,BIC,business identifier code
1619,SSRC,Scientific Studies Research Centre
1620,FTP,Fire Test Procedures
1621,DCB,Daedong Credit Bank
1622,PCA,Principal Customs Areas
1623,NSA,National Security Authority
1624,AIFMs,alternative investment fund managers
1625,ΕΜΠ,Εθνικό Μετσόβιο Πολυτεχνείο
1626,BCI,bulk current injection
1627,AHRS,Attitude and Heading Reference Systems
1628,FID,flame ionisation detector
1629,CSFR,Czech and Slovak Federal Republic
1630,MRI,Magnetic Resonance Imaging
1631,GDP,gross domestic product
1632,EDP,excessive deficit procedure
1633,CVA,credit valuation adjustment
1634,OCC,OLIE CONTACT COMMISSIE
1635,GMDSS,global maritime distress and safety system
1636,SNN,Samenwerkingsverband Noord Nederland
1637,MES,marine evacuation system
1638,ALU,annual labour units
1639,MX,Mauritius X
1640,IPN,infectious pancreatic necrosis
1641,EIAH,European Investment Advisory Hub
1642,IFSD,information field size device
1643,SDT,secondary dilution tunnel
1644,IFSD,Information Field Size Device
1645,NRLs,national reference laboratories
1646,DNV,Det Norske Veritas
1647,ECU,Electronic control unit
1648,CAE,combined airworthiness exposition
1649,CDS,credit default swaps
1650,EMS,European Monetary System
1651,CA,cellulose acetate
1652,EIF,European Investment Fund
1653,GEMMs,gilt edged market makers or
1654,ISV,Intermediate statement of verification
1655,DIP,Dissolved Inorganic Phosphorus
1656,MTF,multilateral trading facility
1657,UNECE,United Nations Economic Commission for Europe
1658,DPT,differential pressure transducer
1659,VDS,Vessels Day Scheme
1660,AMPs,aircraft maintenance programmes
1661,FEL,family emission limit
1662,CRM,CREDIT RISK MITIGATION
1663,DVI,digital visual interface
1664,BRRV,Blueberry red ringspot virus
1665,NA,NL0000009132 AKZA
1666,TSD,Trade and Sustainable Development
1667,SAARC,South Asian Association for Regional Cooperation
1668,TEFs,toxic equivalency factors 
1669,APA,approved publication arrangement
1670,PGI,protected geographical indications
1671,EEZ,economic exclusive zone
1672,EIN,European Identification Number
1673,IEC,International Electrotechnical Commission
1674,ITU,International Telecommunication Union
1675,CPA,Classification of Products by Activity
1676,PV,payment volume
1677,ES,Espana SA
1678,MS,measures in support of
1679,SS,SE0000308280 SCVB
1680,OCT,overseas countries or territories
1681,WEU,Western European Union
1682,ESMA,European Securities and Markets Authority
1683,ETNS,European Telephone Numbering Space
1684,WCPFC,Western and Central Pacific Fisheries Commission
1685,SFOC,specific fuel oil consumption
1686,PPS,Protocol parameter selection
1687,RSPG,Radio Spectrum Policy Group
1688,SAF,SOLUTIONS ARUBA f11791
1689,AVIR,Aziende Vetrarie Italiane Ricciardi
1690,IBAN,International Bank Account Number
1691,MIL,Malfunction Indicator Lamp
1692,TEM,threat and error management
1693,MES,Minimum executable size
1694,BMI,Body Mass Index
1695,AMA,Advanced Measurement Approaches
1696,CSIs,Common safety indicators
1697,DSA,Designated Security Authority
1698,PPR,Protection Products and their Residues
1699,AIS,automatic identification Systems
1700,ECA,European Cockpit Association
1701,EU,EUROPEAN UNION
1702,WRAP,Waste and resources action programme
1703,EoI,equivalence of inputs
1704,SB,suction blower
1705,IČO,Identifikační číslo osoby
1706,LPG,liquefied petroleum gas
1707,FAO,Food and Agricultural Organization
1708,NIC,Nordic Industrial Cement
1709,FOPS,Falling Objects Protective Structures
1710,BCI,Bulk current injection
1711,CPLDs,Complex Programmable Logic Devices
1712,AIE,Agricola Industriale Emiliana
1713,WL,word length
1714,ESF,European Social Fund
1715,MSY,maximum sustainable yield
1716,OPS,Organic Physical Scrubbing
1717,LPG,LIQUEFIED PETROLEUM GAS
1718,DA,de azufre
1719,ISU,Implementation Support Unit
1720,ERPG,Emergency Response Planning Guidelines
1721,LPS,Large Point Sources
1722,MRL,maximum residual limit
1723,NCAs,national competent authorities 
1724,VRN,Vehicle Registration Number
1725,OCTs,Overseas countries or territories
1726,API,application programming interface
1727,EEZ,exclusive economic zones
1728,FAME,fatty acid methyl esters
1729,ANP,aircraft noise and performance
1730,DRC,Democratic Republic of Congo
1731,SS,SE0000113250 SKAB
1732,UEI,Utilizzazzioni Elettro Industriali
1733,PSA,Pressure Swing Adsorption
1734,CCLT,cash conduit lending transaction
1735,VU,vehicle unit
1736,ESDC,European Security and Defence College
1737,FFA,Forum Fisheries Agency
1738,TT,transfer tube
1739,ES,E SrCrO4
1740,ICM,integrated crop management
1741,ISCO,International Standard Classification of Occupations
1742,TEG,Technical Expert Group
1743,QRM,Quick Reaction Mechanism
1744,ETD,Estimated time of departure
1745,ICVM,ICAO Coordinated Validation Mission
1746,UN,United Nations
1747,NSAs,NATIONAL SECURITY AUTHORITIES
1748,MI,malfunction indicator
1749,QKD,quantum key distribution
1750,LNG,Liquefied natural gas
1751,CSM,Common Safety Methods
1752,CS,cyclone separater
1753,ISA,International Standard Atmosphere
1754,MRL,maximum residue limits
1755,RPF,Regional Protection Force
1756,ECB,Exxon Chemical Belgium
1757,ILC,International Labour Conference
1758,IEC,International Electrotechnical Committee
1759,AAS,atomic absorption spectrometry
1760,LOEC,lowest observed effect concentration
1761,OPS,Operators Protection Structures
1762,LNG,LIQUEFIED NATURAL GAS
1763,RCDS,raster chart display system
1764,CDC,case with the deposits centralised with the
1765,EP,exhaust pipe
1766,TSCR,total SREP capital requirement
1767,VAMF,vaccine antigen master file
1768,AAUs,Assigned Amount Units or 
1769,SQL,standard quality level
1770,MCRS,minimum conservation reference size
1771,WIKMS,Wojewódzkich Inspektoratów Kontroll Materialu Siewnego
1772,DSC,Digital Selective Calling
1773,AEC,annual energy consumption
1774,AEGL,Acute Exposure Guideline Levels
1775,NTLs,national tariff lines
1776,PEC,predicted environmental concentration
1777,LAS,League of Arab States
1778,IAF,International Accreditation Forum
1779,TNO,toegepast natuurwetenschappelijk onderzoek
1780,CVS,constant volume sampling
1781,ISA,Infectious salmon anaemia
1782,SME,small and medium-sized enterprises
1783,HGVs,heavy goods vehicles
1784,CDs,certificates of deposit
1785,PEC,Predicted Environmental Concentrations
1786,BSA,bovine serum albumin
1787,CSTs,common safety targets
1788,CVRI,Changchun Veterinary Research Institute
1789,ANPR,automatic number plate recognition
1790,ABS,Anti-lock braking system
1791,TIC,total inorganic carbon
1792,RAN,Radio Access Network
1793,TDI,tolerable daily intake
1794,SS,SE0000242455 SWEDA
1795,ATA,Air Transport Association
1796,STEP,Science and technology for environmental protection
1797,LCx,lethal concentration
1798,MDBs,multilateral development banks
1799,UNSCR,United Nations Security Council Resolution
1800,CRAs,credit rating agencies 
1801,ASSVd,Apple scar skin viroid
1802,IMSOC,information management system for official controls
1803,FFPN,FRANCAISE FRISONNE PIE NOIRE
1804,IFRIC,International Financial Reporting Interpretations Committee
1805,AIS,Automatic identification systems
1806,JEV,Joint European Venture
1807,BNFL,BRITISH NUCLEAR FUELS LIMITED
1808,HSVd,Hop stunt viroid
1809,AWRA,Asia Westbound Rate Agreement
1810,IASB,International Accounting Standards Board
1811,CVZ,College voor Zorgverzekeringen
1812,ESO,European Skippers Organisation
1813,ERU,Emission Reduction Units
1814,MV,metering valve
1815,WFP,World Food Programme
1816,CRS,Catholic Relief Service
1817,OHMPs,occupational health medical practitioners
1818,CR,clarification for the reader of this
1819,FSB,Financial Stability Board
1820,SCF,Scientific Committee on Food
1821,HPC,Head performance criterion
1822,SCR,Solvency Capital Requirement
1823,DF,Deterioration Factor
1824,LRIT,Long Range Identification and Tracking
1825,EPNL,effective perceived noise level
1826,ECx,effect concentration
1827,oMFIs,Other Monetary Financial Institutions
1828,DIO,Defence Industries Organization
1829,IATTC,Inter American Tropical Tuna Commission
1830,VIES,VAT information exchange system
1831,BDS,Bachelor of Dental Surgery
1832,ENPI,European Neighbourhood and Partnership Instrument
1833,DLG,Dienst Landelijk Gebied
1834,ARPA,automatic radar plotting aid
1835,THD,Transmitting heading device
1836,TEM,Transverse electromagnetic mode
1837,ESP,Electronic Stability Program
1838,IPLCs,international private leased circuits 
1839,SCCS,Scientific Committee for Consumer Safety
1840,GT,gross tonnage
1841,FAO,Food and Agriculture Organisation
1842,EMUs,electric motored units
1843,EBRD,European Bank for Reconstruction and Development
1844,ARR,Autoritatea Rutieră Română
1845,HNDGS,Hellenic National Defence General Staff
1846,IC,Insurance Committee
1847,MRL,maximum residue limit
1848,GNSS,Global Navigation Satellite System
1849,SPA,Special Protection Area
1850,CSD,CONSTANT SPEED DRIVE
1851,ILAC,International Laboratory Accreditation Cooperation
1852,EMEA,European Medicine Evaluation Agency
1853,EV,Enterprise Value
1854,CNVM,Comisia Naţională a Valorilor Mobiliare
1855,AIFs,Alternative Investment Funds
1856,CRS,computer reservation system
1857,CEPI,Confederation of European Paper Industries
1858,ESC,Electronic stability control
1859,SC,single crystal
1860,SIP,seat index point
1861,EAR,Elementi agricoli ridotti
1862,RDM,Roed dansk maelkerace
1863,ECAIs,external credit assessment institutions
1864,TEF,Toxic Equivalency Factor
1865,CCF,climate correction factor
1866,DIA,Direct investment abroad
1867,SCCP,Scientific Committee on Consumer Products
1868,GAP,Good Agricultural Practice
1869,CEUMC,Chairman of the European Union Military Committee
1870,CDF,Charbonnages de France
1871,CAAS,Chinese Academy of Agricultural Sciences
1872,ECC,Electronic Communications Committee
1873,PSC,Personnel Security Clearance
1874,IPCS,International Programme on Chemical Safety
1875,IVT,initial vocational training
1876,OPCW,Organisation for the Prohibition of Chemical Weapons
1877,CBNM,Central Bureau for Nuclear Measurements
1878,SDS,sodium dodecyl sulphate
1879,ISINs,International Securities Identification Numbers
1880,IU,international units
1881,IP,investigation period or
1882,ITU,International Telecommunications Union
1883,EIOPA,European Insurance and Occupational Pensions Agency
1884,BVD,bovine virus diarrhoea
1885,ICCAT,International Commission for the Conservation of Atlantic Tunas
1886,EATA,Europe Asia Trades Agreement
1887,RCR,Risk Capital Resources
1888,NG,natural gas
1889,IA,I and Annex
1890,IMRO,Irish Music Rights Organisation
1891,WD,working dilution
1892,APLAC,Asia Pacific Laboratory Accreditation Cooperation
1893,EPIRB,Emergency Position Indicating Radio Beacon
1894,ESMA,European Securities Markets Authority
1895,BPLs,balloon pilot licences 
1896,TFEU,Treaty on the Functioning of the European Union the
1897,EMDGS,Export Market Development Grant Scheme
1898,AOEL,acceptable operator exposure level
1899,OML,Operational multi-pilot limitation
1900,EECU,engine electronic control unit
1901,EQS,environmental quality standards
1902,NZEBs,nearly zero energy buildings
1903,MTCR,Missile Technology Control Regime
1904,VDR,Voyage data recorder
1905,ETCS,European Train Control System
1906,AIFM,Alternative Investment Fund Manager
1907,ESS,European Statistical System
1908,VT,ventricular tachycardia
1909,HFID,HSL1.HCHeated flame ionisation detector
1910,SA,STRATEGIC AIR
1911,ISO,International Standard Organisation
1912,UNEP,United Nations Environment Programme
1913,HAC,head acceptability criterion
1914,SPES,Stimulation Plan for Economic Science
1915,CDM,clean development mechanism
1916,FSO,Facility Security Officer
1917,MCR,Minimum Capital Requirement
1918,EVN,European vehicle number
1919,PSSM,Physical Security and Stockpile Management
1920,CRM,Credit risk mitigation
1921,CSDs,Central securities depositories
1922,IC,interoperability constituent
1923,IR,industrial research
1924,DF,Dilution factor
1925,EUA,European Union Allowances
1926,CAAS,CENTRAL ASIAN AVIATION SERVICES
1927,BB,B BA
1928,TIC,Tax Identification Code
1929,IRKK,internationale Røde Kors Komite
1930,EESSI,Electronic Exchange of Social Security Information
1931,GC,gas chromatography
1932,NOx,Nitrogen oxide
1933,CVS,constant volume sampler
1934,TIMS,Thermal ionization mass spectrometers
1935,OC,organic carbon
1936,SFTs,securities financing transactions 
1937,SFP,security function policy
1938,MMF,Money Market Fund
1939,ETSI,European Telecommunications Standardisation Institute
1940,TMGs,touring motor gliders 
1941,GAAP,Generally Accepted Accounting Principles
1942,USA,United States of America the
1943,EFAH,European Forum for the Arts and Heritage
1944,IFRS,International Financial Reporting Standards
1945,PVD,Physical Vapour Deposition
1946,FH,Flight Hours
1947,FASA,Frigorífico argentino San Antonio
1948,CVs,curricula vitae
1949,OOCL,Oriental Overseas Container Line
1950,GL,Germanischer Lloyd
1951,HBS,holistic balance sheet
1952,SFM,Supervisory Formula Method
1953,ADI,admissible daily intake
1954,IA,inserted in Annex
1955,MCC,material change in circumstances
1956,SPA,Sucrose Peptone Agar
1957,HS,harmonized system or
1958,RF,radio frequency
1959,EMCIP,European Marine Casualty Information Platform
1960,GVBaV,Gooseberry vein banding associated viruses
1961,NGE,Net Grant Equivalent.Thus the
1962,SASA,Science and Advice for Scottish Agriculture
1963,API,Advance Passenger Information
1964,CDC,collecting the deposits centralised with the
1965,HACCP,hazard analysis and critical control point
1966,ISWAP,Islamic State West Africa Province
1967,PSPF,pubic symphysis peak force
1968,IBM,International Business Machines
1969,EC,ensure the coherence of the
1970,CAP,common agricultural policy
1971,FI,Facilmente inflamável
1972,PEF,primary energy factor
1973,TVAC,Total viable aerobic count
1974,SL,Sierra Leone
1975,PBCVd,Pear blister canker viroid
1976,MTF,Multilateral Trading Facility
1977,CA,Casino Attikis or
1978,ERTMS,European Rail Traffic Management System
1979,IACA,International Air Carrier Association
1980,CTRs,common technical regulations
1981,CWC,Chemical Weapons Convention
1982,ESNs,European Secured Notes
1983,LV,left ventricle
1984,GC,Gas chromatographic
1985,VPC,Value of Preventing a Casualty
1986,TSI,technical specifications for interoperability
1987,NIF,Note issuance facility
1988,ECAC,European Civil Aviation Conference
1989,IRISL,Islamic Republic of Iran Shipping Lines
1990,IHN,infectious haematopoietic necrosis
1991,CTD,Common Technical Document
1992,OCTs,overseas countries and territories
1993,IC,Integrated Circuit
1994,UCITS,undertakings for collective investment in transferable securities
1995,PSP,particulate sampling probe
1996,IBCs,intermediate bulk containers
1997,LFO,Light Fuel Oil
1998,TRN,Toerisme Recreatie Nederland
1999,ETF,exchange traded fund
2000,EFSA,European Food Safety Authority
2001,ITI,International Tracing Instrument
2002,SFT,securities financing transaction
2003,STP,Sao Tome and Principe
2004,PIB,public investment budget
2005,APS,aerodynamic particle sizer
2006,GFAP,General Framework Agreement for Peace
2007,CA,concerns an application by
2008,OCTs,Overseas Countries and Territories 
2009,SCR,Selective Catalytic Reduction
2010,MON,motor octane number
2011,CW,chemical warfare
2012,CN,Combined Nomenclature under the
2013,SCAN,Scientific Committee on Animal Nutrition
2014,OO,oo OO
2015,RCS,Red Cross Societies
2016,AE,Arab Emirates
2017,BBP,Butyl benzyl phthalate
2018,SMEs,small and medium-sized enterprises 
2019,DCHC,Damascus Cham Holding Company
2020,SGEI,Services of General Economic Interest
2021,WCO,World Customs Organization
2022,DTCs,Diagnostic trouble codes
2023,IR,inductive resistive
2024,HFID,heated flame ionization detector
2025,RON,research octane number
2026,IFSC,Information Field Size Card
2027,UCAR,University Corporation for Atmospheric Research
2028,RO,Recognized Organizations
2029,GMMs,genetically modified micro-organisms
2030,PLO,Palestine Liberation Organisation
2031,GIC,General Industry Criterion
2032,FISIM,Financial intermediation service indirectly measured
2033,EP,electrical power the
2034,CHL,Chinese Hamster Lung
2035,CAO,combined airworthiness organisation
2036,EAR,Elementos agrícolas reduzidos
2037,USO,universal service obligation
2038,BaP,Benzo a ) pyrene
2039,VOC,volatile organic compounds
2040,MMD,Mass Median Diameter
2041,SPe,safety precautions for the environment
2042,CCN,Centre Communication Nord
2043,IHD,ischaemic heart disease
2044,TK,thymidine kinase
2045,BAT,best available techniques
2046,ROPS,Rolling Over Protective Structure
2047,ECVAM,European Centre for the Validation of Alternative Methods
2048,MAR,Market Abuse Regulation
2049,ES,ESPANA SA
2050,MFMP,Major French Mushroom Packers
2051,AIFs,alternative investment funds
2052,SPEC,standard programme energy consumption
2053,EPEC,eco programme energy consumption
2054,SIV,Simian Immunodeficiency Virus
2055,TSE,transmissible spongiform encephalopathies
2056,ECDIS,Electronic Chart and Display Information System
2057,EICP,European Index of Consumer Prices
2058,IC,Inorganic carbon
2059,EFTA,European Free Trade Association
2060,BTI,BINDING TARIFF INFORMATION
2061,HBT,hetero-junction bipolar transistors
2062,TSIs,technical specifications for interoperability 
2063,ESC,Electronic Stability Control
2064,ARM,approved reporting mechanism
2065,RFMOs,Regional fisheries management organisations
2066,BRIS,Business Registers Interconnection System
2067,UBC,United Brands Company
2068,CMV,Cucumber mosaic virus
2069,MPL,multi-crew pilot licence
2070,DCS,direct credit substitutes
2071,GATT,General Agreement on Tariffs and Trade
2072,CLPs,credit loss projections 
2073,CCPR,Codex Committee on Pesticide Residues
2074,UAA,utilized agricultural area
2075,WIKMS,Wojewódzkich Inspektoratów Kontroli Materialu Siewnego
2076,EGR,exhaust gas recirculation
2077,GA,GRS015013006 ALPHA
2078,LLU,Local Loop Unbundling
2079,ROC,Regulatory Oversight Committee
2080,ASTM,American Society for Testing and Materials
2081,FDR,flight data recorder
2082,CVED,Common Veterinary Entry Document
2083,VGA,video graphics array
2084,LEL,lower explosivity limit
2085,CN,contains new
2086,ESAP,Escola Superior Artística do Porto
2087,RTC,Rail Traction Company
2088,CMMs,coordinate measuring machines
2089,CBR,Community Bureau of Reference
2090,ASF,African swine fever
2091,DHS,Data handling system
2092,ISDN,integrated services digital network
2093,MEETS,Modernisation of European Enterprise and Trade Statistics
2094,GATS,General Agreement on Trade in Services
2095,EEI,Energy Efficiency Index
2096,EPWC,Eco programme water consumption
2097,POPs,persistent organic pollutants
2098,CC,Consiliul Concurenţei
2099,SSRC,Scientific Studies and Research Center
2100,ECSC,European Coal and Steel Community
2101,NTN,NUCLEAR TECHNOLOGY NOTE
2102,CA,CAPITAL ADEQUACY
